	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187195	580698	153598.0	980554.0	2812610.0	576992.0
SRZ187196	202658	7646.0	755684.0	1949682.0	25492.0
SRZ187197	138784	19496.0	635624.0	1669170.0	208406.0
SRZ187198	328864	118974.0	712720.0	1742960.0	668576.0
SRZ187199	660476	32112.0	1308492.0	3702898.0	122124.0
SRZ187200	607228	58706.0	1014168.0	2286210.0	1109930.0
SRZ187201	206182	86488.0	523818.0	1231504.0	287960.0
SRZ187202	627378	47314.0	703806.0	2272330.0	533244.0
SRZ187203	591238	53004.0	688316.0	2340640.0	572688.0
SRZ187204	187370	71618.0	315612.0	888978.0	194420.0
SRZ187206	70274	4590.0	308306.0	396018.0	11324.0
SRZ187207	153700	32572.0	747210.0	2238404.0	355420.0
SRZ187208	147990	22064.0	842348.0	2702550.0	472144.0
SRZ187209	267230	53270.0	615306.0	2250344.0	303292.0
SRZ187210	274980	19948.0	550480.0	1387906.0	260500.0
SRZ187211	42950	3712.0	90714.0	319714.0	42524.0
SRZ187212	1053410	39140.0	395006.0	1010592.0	140264.0
SRZ187213	389222	69390.0	518624.0	1369134.0	398292.0
SRZ187214	643082	47750.0	487984.0	1499048.0	408620.0
SRZ187215	646186	82714.0	879748.0	2492902.0	399116.0
SRZ187216	293010	36854.0	437872.0	1374654.0	200694.0
SRZ187217	392606	53138.0	454100.0	1093310.0	218564.0
SRZ187218	267844	28146.0	528850.0	2050256.0	216222.0
SRZ187219	279118	31462.0	352946.0	1849164.0	274794.0
SRZ187220	127652	24270.0	81052.0	352840.0	119064.0
SRZ187221	93322	10676.0	79046.0	291498.0	62708.0
SRZ187222	133838	34406.0	142654.0	402762.0	91420.0
SRZ187223	49158	17256.0	44832.0	122966.0	48370.0
SRZ187224	165636	39394.0	270240.0	1011214.0	134178.0
SRZ187225	140338	42924.0	296570.0	1029580.0	135358.0
SRZ187226	207436	42036.0	359394.0	1260162.0	174878.0
SRZ187227	138356	40526.0	288958.0	553080.0	200210.0
