	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187130	266990	145224.0	358602.0	591762.0	274500.0
SRZ187131	188304	58296.0	347654.0	622410.0	399884.0
SRZ187132	93080	56382.0	77418.0	201894.0	105786.0
SRZ187133	126274	51512.0	220890.0	503774.0	111064.0
SRZ187134	195032	76572.0	327988.0	539186.0	410864.0
SRZ187135	316764	153122.0	378786.0	515920.0	373754.0
SRZ187136	320006	88126.0	412204.0	743850.0	466734.0
SRZ187137	93596	51178.0	168826.0	327546.0	661022.0
SRZ187138	352326	166884.0	385726.0	623996.0	295756.0
SRZ187139	146918	49206.0	310340.0	590978.0	160732.0
SRZ187140	945786	167094.0	2276726.0	3424404.0	610230.0
SRZ187141	105252	32796.0	48282.0	176998.0	93610.0
SRZ187142	229978	64298.0	397738.0	830280.0	79996.0
SRZ187143	165124	48070.0	395336.0	439436.0	134216.0
SRZ187144	239194	77082.0	127504.0	232470.0	216258.0
SRZ187145	578482	105052.0	1548838.0	3825652.0	110540.0
SRZ187146	614138	99484.0	467238.0	842766.0	216556.0
SRZ187147	193868	114640.0	238600.0	462050.0	153076.0
SRZ187148	269532	66688.0	451574.0	930406.0	91870.0
